"Items Config","Config. dos Itens"
"Items","Itens"
"Redirect To","Redirecionar Para"
"Background Color (CSS)","Cor de Fundo (CSS)"
"Text","Texto"
"Position","Posição"
"Icon","Ícone"
"Action","Ação"
"Add New Item","Adicionar Novo Item"
"Save and Continue Edit","Salvar e Continuar Editando"
"Delete Item","Deletar Item"
"Save Item","Salvar Item"
"Edit Item %1","Editar Item %1"
"New Item","Novo Item"
"The lower the number, the higher your priority","Quanto menor o número, maior sua prioridade"
"Delete item","Deletar item"
"Are you sure you wan't to delete a item?","Você tem certeza de que quer deletar este item?"
"You saved the Item.","Você salvou o item."
